"seed","graph","dim","method","selector","elapsed_time_model","total_ram_model","peak_ram_model","elapsed_time_best","total_ram_best","peak_ram_best","f1","precision","recall","hamming_dist","best"
"51","hub",100,"glasso","stars",0.746,1.6,2,11.339,0.5,11.3,0.557377049180328,0.404761904761905,0.894736842105263,135,0
"51","hub",250,"glasso","stars",1.448,9.5,11,28.905,0.700000000000003,58,0.526041666666667,0.380414312617702,0.852320675105485,364,0
"51","hub",500,"glasso","stars",6.148,38.2,43.9,138.418,-2.59999999999999,158.2,0.442151004888648,0.297950219619326,0.856842105263158,1027,0
"51","hub",750,"glasso","stars",17.761,85.8,98.7,407.087,-28.7,242.2,0.389213775178687,0.253169907016061,0.841292134831461,1880,0
"51","hub",1000,"glasso","stars",43.058,152.6,175.5,968.984,-76,409.7,0.126984126984127,0.0680529300567108,0.947368421052632,12375,0
"51","hub",100,"glasso","ebic",0.747,1.6,2,0.0249999999999995,0,0.699999999999999,0.327586206896552,0.904761904761905,0.2,78,0
"51","hub",250,"glasso","ebic",1.473,9.5,10.9,0,-1.6,0,0.262773722627737,0.972972972972973,0.151898734177215,202,0
"51","hub",500,"glasso","ebic",6.286,38.1,43.9,0.00100000000000122,-9.69999999999999,0,0.30550621669627,0.977272727272727,0.181052631578947,391,0
"51","hub",750,"glasso","ebic",18.075,85.9,90.2,0,-38.6,0,0.225247524752475,0.947916666666667,0.127808988764045,626,0
"51","hub",1000,"glasso","ebic",51.637,152.6,160.3,0,-86.4,0,0.174831892411143,1,0.0957894736842105,859,0
"51","hub",100,"mb","stars",0.821,0.599999999999998,10.5,11.221,0.5,10.2,0.611940298507463,0.473988439306358,0.863157894736842,104,0
"51","hub",250,"mb","stars",1.101,1.3,38.8,15.5,1.6,37.8,0.313497822931785,0.189307624890447,0.911392405063291,946,0
"51","hub",500,"mb","stars",1.84,3,45,30.276,3.3,77.4,0.257320319432121,0.149690295939436,0.91578947368421,2511,0
"51","hub",750,"mb","stars",3.288,5.2,66.4,59.885,2.6,112.1,0.109194918818878,0.058076062639821,0.911516853932584,10589,0
"51","hub",1000,"mb","stars",4.79499999999999,7,98.8,91.985,0.100000000000009,165.3,0.106854345165239,0.0567251461988304,0.918947368421053,14594,0
"51","cluster",100,"glasso","stars",0.755,1.7,2,12.271,0.599999999999998,10.9,0.560157790927022,0.609442060085837,0.518248175182482,223,0
"51","cluster",250,"glasso","stars",1.431,9.6,11,28.304,0.600000000000001,57.9,0.45398773006135,0.46984126984127,0.439169139465875,712,0
"51","cluster",500,"glasso","stars",6.398,38.1,43.8,144.934,-2,158.2,0.331899200983405,0.3,0.371389270976616,2174,0
"51","cluster",750,"glasso","stars",18.927,85.8,98.7,429.614,-28.3,324.4,0.272415659390222,0.223240685984624,0.349375289217955,4033,0
"51","cluster",1000,"glasso","stars",41.525,152.6,175.5,870.355,-79.4,408.6,0.199848472093611,0.132138483802739,0.409875690607735,9505,0
"51","cluster",100,"glasso","ebic",0.639,1.7,2,0.0249999999999995,0,0.699999999999999,0.141414141414141,0.91304347826087,0.0766423357664234,255,0
"51","cluster",250,"glasso","ebic",1.324,9.5,11,0.000999999999999446,-1.6,0,0.0952380952380952,0.85,0.0504451038575668,646,0
"51","cluster",500,"glasso","ebic",6.273,38.2,43.9,0,-9.8,0,0.0637873754152824,0.941176470588235,0.0330123796423659,1409,0
"51","cluster",750,"glasso","ebic",19.442,85.8,90.1,0,-38.5,0,0.0624442462087422,0.864197530864197,0.03239241092087,2102,0
"51","cluster",1000,"glasso","ebic",42.228,152.6,160.2,0.00100000000000477,-86.4,0.100000000000023,0.0109852385856505,0.941176470588235,0.00552486187845304,2881,0
"51","cluster",100,"mb","stars",0.816,0.599999999999998,10.3,10.208,0.5,10.3,0.557522123893805,0.707865168539326,0.45985401459854,200,0
"51","cluster",250,"mb","stars",0.960000000000001,1.3,38.7,14.076,1.6,37.8,0.388451443569554,0.300568643379366,0.548961424332344,1165,0
"51","cluster",500,"mb","stars",1.816,3.3,45,33.708,3.8,57.8,0.259720360084275,0.179984072205999,0.466299862448418,3865,0
"51","cluster",750,"mb","stars",3.58200000000001,5.5,68.2,65.287,2.6,114.9,0.205934850513164,0.13567543730707,0.427117075428043,7118,0
"51","cluster",1000,"mb","stars",4.65599999999998,6.5,101.5,82.591,-2.2,170,0.16126392648077,0.0986067277345855,0.442334254143646,13325,0
"51","band",100,"glasso","stars",0.752,1.6,2,11.074,0.399999999999999,10.6,0.609230769230769,0.438053097345133,1,127,0
"51","band",250,"glasso","stars",1.226,9.6,11,25.116,0.400000000000006,58.1,0.443060498220641,0.284571428571429,1,626,0
"51","band",500,"glasso","stars",5.41500000000001,38.2,43.9,124.823,-3.2,158.3,0.287711124053582,0.168313458262351,0.98997995991984,2446,0
"51","band",750,"glasso","stars",14.978,85.8,98.7,346.848,-30.9,243.2,0.268678422105072,0.155513468013468,0.986648865153538,4023,0
"51","band",1000,"glasso","stars",37.721,152.6,175.5,905.746,-76.7,412.9,0.271689811632064,0.157475294867708,0.988988988988989,5297,0
"51","band",100,"glasso","ebic",0.63,1.6,2,0.0230000000000001,0,0.699999999999999,0.476923076923077,1,0.313131313131313,68,0
"51","band",250,"glasso","ebic",1.206,9.5,10.9,0,-1.6,0,0.429022082018927,1,0.273092369477912,181,0
"51","band",500,"glasso","ebic",5.44,38.1,43.9,0,-9.69999999999999,0,0.425196850393701,0.992647058823529,0.270541082164329,365,0
"51","band",750,"glasso","ebic",15.322,85.9,90.2,0.00100000000000477,-38.6,0,0.266203703703704,1,0.153538050734312,634,0
"51","band",1000,"glasso","ebic",38.948,152.6,160.3,0,-86.4,0,0.203237410071942,1,0.113113113113113,886,0
"51","band",100,"mb","stars",0.949,0.5,10.3,11.821,0.400000000000002,10.2,0.756756756756757,0.6125,0.98989898989899,63,0
"51","band",250,"mb","stars",1.049,1,39.3,14.553,1.3,38.3,0.641752577319588,0.472485768500949,1,278,0
"51","band",500,"mb","stars",1.57400000000001,2.6,45.8,26.05,3.2,78.6,0.214979494927693,0.120464441219158,0.997995991983968,3637,0
"51","band",750,"mb","stars",2.17700000000001,4.1,67.7,42.34,1.7,114.5,0.204047914085089,0.113754989253915,0.98931909212283,5781,0
"51","band",1000,"mb","stars",3.471,5.6,102,65.566,0.399999999999991,129.8,0.104786000421674,0.0553051799922105,0.994994994994995,16984,0
"51","scale-free",100,"glasso","stars",0.641,1.6,2,11.479,0.599999999999998,10.8,0.336842105263158,0.351648351648352,0.323232323232323,126,0
"51","scale-free",250,"glasso","stars",1.562,9.6,11,31.595,0.899999999999999,57.9,0.158693115519253,0.111842105263158,0.273092369477912,721,0
"51","scale-free",500,"glasso","stars",7.043,38.1,43.8,162.388,-1.7,157.9,0.0615815255423373,0.0373039423484527,0.176352705410822,2682,0
"51","scale-free",750,"glasso","stars",24.155,85.8,98.7,548.992,-24.8,323.9,0.0687093779015785,0.0526690391459075,0.0987983978638184,2006,0
"51","scale-free",1000,"glasso","stars",52.761,152.6,175.4,1156.541,-75,548.1,0.0330026109660574,0.0184235074626866,0.158158158158158,9259,0
"51","scale-free",100,"glasso","ebic",0.661,1.6,2,0.0260000000000002,0,0.699999999999999,0.252100840336135,0.75,0.151515151515152,89,0
"51","scale-free",250,"glasso","ebic",1.541,9.5,10.9,0,-1.6,0,0.031496062992126,0.8,0.0160642570281124,246,0
"51","scale-free",500,"glasso","ebic",6.782,38.1,43.9,0,-9.69999999999999,0,0.019723865877712,0.625,0.0100200400801603,497,0
"51","scale-free",750,"glasso","ebic",23.761,85.9,90.2,0.00100000000000477,-38.6,0,0.0415140415140415,0.242857142857143,0.0226969292389853,785,0
"51","scale-free",1000,"glasso","ebic",56.388,152.6,160.3,0,-86.4,0,0.00839909105726914,0.00424015953842282,0.438438438438438,103424,0
"51","scale-free",100,"mb","stars",0.907,0.699999999999999,11.3,11.566,0.600000000000001,10.8,0.316939890710382,0.345238095238095,0.292929292929293,125,0
"51","scale-free",250,"mb","stars",1.147,1.5,38.8,16.703,1.8,37.3,0.156911581569116,0.113718411552347,0.253012048192771,677,0
"51","scale-free",500,"mb","stars",2.238,3.9,44.4,37.934,4.1,75.9,0.0658505698607007,0.0417112299465241,0.156312625250501,2213,0
"51","scale-free",750,"mb","stars",4.74199999999999,6.8,64,84.478,4,108.1,0.0375901996979359,0.0214971209213052,0.149532710280374,5735,0
"51","scale-free",1000,"mb","stars",7.114,8.80000000000001,126.6,123.528,-0.5,158,0.0238873690531794,0.0127966828710323,0.179179179179179,14629,0
"51","MB",100,"glasso","stars",0.713,1.6,2,11.467,0.5,10.8,0.695431472081218,0.709844559585492,0.681592039800995,120,0
"51","MB",250,"glasso","stars",1.358,9.5,11,26.703,0.5,58.6,0.622345337026777,0.541800643086817,0.731019522776573,409,0
"51","MB",500,"glasso","stars",5.774,38.2,43.9,133.72,-2.40000000000001,123.5,0.466153846153846,0.347477064220183,0.707943925233645,1388,0
"51","MB",750,"glasso","stars",16.48,85.8,98.7,378.933,-28.7,253.9,0.452204945195004,0.333082989110026,0.703968253968254,2149,0
"51","MB",1000,"glasso","stars",37.423,152.6,175.5,1022.154,-75.2,430.2,0.161379145217287,0.0893662158578626,0.831072749691739,14010,0
"51","MB",100,"glasso","ebic",0.746,1.6,2,0.0259999999999998,0,0.5,0.112676056338028,1,0.0597014925373134,189,0
"51","MB",250,"glasso","ebic",1.542,9.5,10.9,0,-1.6,0,0.20889748549323,0.964285714285714,0.117136659436009,409,0
"51","MB",500,"glasso","ebic",6.266,38.2,40.1,0.000999999999997669,-9.7,0,0.182590233545648,1,0.100467289719626,770,0
"51","MB",750,"glasso","ebic",17.877,85.9,90.2,0,-38.6,0,0.129080118694362,0.988636363636364,0.0690476190476191,1174,0
"51","MB",1000,"glasso","ebic",46.85,152.6,160.2,0,-86.4,0,0.0770142180094787,0.984848484848485,0.0400739827373613,1558,0
"51","MB",100,"mb","stars",0.986,0.5,10.5,11.952,0.5,10,0.708423326133909,0.625954198473282,0.81592039800995,135,0
"51","MB",250,"mb","stars",1.052,1.2,39.6,15.517,1.5,38.4,0.514905149051491,0.374384236453202,0.824295010845987,716,0
"51","MB",500,"mb","stars",1.875,3.1,47,32.262,3.8,60.1,0.335695089176643,0.212233549582947,0.802570093457944,2719,0
"51","MB",750,"mb","stars",3.05199999999999,5.1,70.2,58.58,2.2,116,0.173801712410979,0.0966450120138827,0.861904761904762,10325,0
"51","MB",1000,"mb","stars",5.208,7.2,107.8,95.608,0.699999999999989,134.3,0.149069028156222,0.0820932849818682,0.809494451294698,14990,0
"23","hub",100,"glasso","stars",0.75,1.6,2,11.286,0.5,11,0.619718309859155,0.465608465608466,0.926315789473684,108,0
"23","hub",250,"glasso","stars",1.493,9.5,11,30.275,0.700000000000003,58,0.484029484029484,0.341421143847487,0.831223628691983,420,0
"23","hub",500,"glasso","stars",6.196,38.2,43.9,140.675,-2.60000000000001,158.1,0.429906542056075,0.285320468642316,0.871578947368421,1098,0
"23","hub",750,"glasso","stars",19.045,85.8,98.7,426.745,-28.2,325.1,0.32258064516129,0.198697068403909,0.856741573033708,2562,0
"23","hub",1000,"glasso","stars",41.631,152.5,175.4,1263.373,-76,552.6,0.116831811411178,0.0622455317093368,0.949473684210526,13637,0
"23","hub",100,"glasso","ebic",0.688,1.6,2,0.0250000000000004,0,0.699999999999999,0.48,1,0.315789473684211,65,0
"23","hub",250,"glasso","ebic",1.428,9.5,10.9,0,-1.6,0,0.385135135135135,0.966101694915254,0.240506329113924,182,0
"23","hub",500,"glasso","ebic",6.337,38.1,43.9,0,-9.69999999999999,0,0.288288288288288,1,0.168421052631579,395,0
"23","hub",750,"glasso","ebic",21.546,85.9,90.2,0,-38.6,0,0.326340326340326,0.958904109589041,0.196629213483146,578,0
"23","hub",1000,"glasso","ebic",65.428,152.6,160.3,0.00100000000000477,-86.4,0,0.196597353497164,0.962962962962963,0.109473684210526,850,0
"23","hub",100,"mb","stars",1.007,0.599999999999998,10.3,11.516,0.5,10.5,0.717948717948718,0.60431654676259,0.884210526315789,66,0
"23","hub",250,"mb","stars",1.083,1.3,39.1,16.097,1.7,37.8,0.543661971830986,0.408033826638478,0.814345991561181,324,0
